sku_id,channel_id,model,pooled_wape_pct,pooled_bias_pct,pooled_mae_units,mean_fold_wape_pct,median_fold_wape_pct,std_fold_wape_pct,worst_fold_wape_pct,folds_evaluated,convergence_warning_folds,backtest_observations
APS-001,ECOM,HW_Add_Add,12.612726165985766,-1.8505643159934435,32.223093748160366,12.630435163907668,11.260982927833243,5.173897590609689,23.19332001109966,12,0,156
APS-001,ECOM,HW_Damped_Add,12.065605273966858,-1.9596301781443468,30.825304914637037,12.115646613810632,11.481685068061863,4.407896165720719,21.428638154582522,12,6,156
APS-001,ECOM,HW_Damped_Mul,10.545130445074939,-3.0948845088623633,26.940783653465807,10.082425066658578,10.438930512048014,2.294973279590839,13.605331386646064,12,0,156
APS-001,RETAIL,HW_Add_Add,9.547339766508205,0.9070261826150428,17.893411489707717,9.844788298247002,9.397626461844915,3.3055094647743792,14.950421852918486,12,0,156
APS-001,RETAIL,HW_Damped_Add,9.490318355861325,-0.20840904901306,17.786543232226457,9.646470157400387,8.456082944574831,4.130616883355239,19.265681512218894,12,0,156
APS-001,RETAIL,HW_Damped_Mul,8.831354861851242,-0.9652212171737938,16.5515285324898,8.72658020924248,8.305996561193522,2.8434674718667994,15.455875261561902,12,0,156
APS-001,WHOLESALE,HW_Add_Add,18.363361264665667,-0.09578522458451742,29.750230330938873,18.831840858722988,17.270056941891227,6.231319972824451,35.48507707529833,12,0,156
APS-001,WHOLESALE,HW_Damped_Add,18.26291185228078,-0.34719014386420044,29.587493612318188,18.81430495146596,16.993765713914964,6.061137929298105,34.83806088615418,12,0,156
APS-001,WHOLESALE,HW_Damped_Mul,18.302340026611276,-0.38454382424526184,29.651370658080925,18.80228427131524,17.18562944737741,5.968581495572448,34.406401597972575,12,1,156
CTS-001,ECOM,HW_Add_Add,8.440461617874053,0.6373429387106117,38.33976680662444,8.67907021507324,8.061999083256461,2.383851000955157,12.39076552868962,12,0,156
CTS-001,ECOM,HW_Damped_Add,8.4734441785682,-1.298524544175695,38.48958606331309,8.639966212988984,8.439673951622254,1.7591112871228292,11.958836888194204,12,1,156
CTS-001,ECOM,HW_Damped_Mul,8.371676594956828,-1.1175965810684583,38.027319234698986,8.588717506798611,8.008012488876329,1.9462648891151415,11.37395529861143,12,0,156
CTS-001,RETAIL,HW_Add_Add,9.766282896780917,1.707625511072951,32.21294169158242,10.073005673578974,10.189057999645549,4.117149970595898,18.007916758465463,12,0,156
CTS-001,RETAIL,HW_Damped_Add,9.37812637626816,0.2484321349428766,30.932652814572084,9.52690163257476,9.397235332644225,3.2278560762796356,16.29797657346775,12,3,156
CTS-001,RETAIL,HW_Damped_Mul,9.179185778522797,0.8030208927773699,30.27647052464761,9.291937044576313,9.617840367607048,3.295016528969473,17.597397440368084,12,0,156
CTS-001,WHOLESALE,HW_Add_Add,23.72109848120257,0.9592494831510869,66.55754259461793,24.463301609687605,21.983066363846923,10.990062009851872,55.03266524901118,12,1,156
CTS-001,WHOLESALE,HW_Damped_Add,23.42435524144806,-0.8386767878258351,65.7249293480064,24.20394328551781,21.71379461446611,11.357159221886716,56.68490488553858,12,1,156
CTS-001,WHOLESALE,HW_Damped_Mul,22.085221806910223,1.0380575326381019,61.967538825819645,22.402080637744422,22.27757479421324,6.18744200668815,33.65535234585651,12,0,156
IMH-001,ECOM,HW_Add_Add,8.913185691538358,0.5169210806837562,59.6231989396726,8.844167928352745,8.433677465944942,3.2544953298127965,15.793295387642814,12,0,156
IMH-001,ECOM,HW_Damped_Add,8.789991524800342,-1.4423737536273686,58.799113077913766,8.651837627950856,8.511579710562607,2.802941603086954,14.46102855673864,12,1,156
IMH-001,ECOM,HW_Damped_Mul,8.680841647236255,-1.3155410415675262,58.06897403566058,8.358752477196374,8.795977014836298,2.2014585030204996,11.339704844340947,12,1,156
IMH-001,RETAIL,HW_Add_Add,8.6836847416338,0.42969198781802453,43.066481536170876,8.957078809074673,7.871012446864064,2.4576989830041938,13.721604363973523,12,0,156
IMH-001,RETAIL,HW_Damped_Add,8.49138811881855,-0.8257862457013179,42.11279203656995,8.672775244082477,7.452791693688873,2.3546965184887747,12.831210479184529,12,2,156
IMH-001,RETAIL,HW_Damped_Mul,8.48456347353023,-1.208794893025101,42.078945407052046,8.306249139657885,8.291175379783802,1.786709478014279,11.431077790368573,12,0,156
IMH-001,WHOLESALE,HW_Add_Add,18.549697719086545,1.4053883209746196,76.51044720616312,18.554872727422595,15.870934068673396,4.872948873506247,29.091725022826616,12,0,156
IMH-001,WHOLESALE,HW_Damped_Add,19.802803452280905,-0.5247115615648108,81.6790317025378,19.47292407010187,20.45741088936898,4.189618539615373,26.1311370233527,12,0,156
IMH-001,WHOLESALE,HW_Damped_Mul,18.83083715522369,-0.22018856637865952,77.67004044115201,18.71938657586851,17.12076624100026,4.460319497783514,26.22521209791969,12,2,156
