forecast_stage,forecast_as_of,evaluation_start,evaluation_end,evaluation_weeks,WAPE,Bias,MAE,error_units,prior_stage,FVA_WAPE_pp,FVA_status,evaluation_truth_type,notes
V0_ANALYTICAL_BASELINE,2026-08-24,W1,W13,13,5.657,1.162,29.63,79.1,,,BASELINE_ANCHOR,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",frozen Step7C BASE/NORMAL weekly shape
V1_COMMERCIAL_PLAN,2026-08-24,W1,W13,13,12.58,12.191,65.89,830.1,V0_ANALYTICAL_BASELINE,-6.923,ACCURACY_WORSENED,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",V0 shape x frozen Step7D level factor 1.10903
V2_CONSENSUS_FORECAST,2026-08-24,W1,W13,13,11.807,11.278,61.84,767.9,V1_COMMERCIAL_PLAN,0.774,ACCURACY_IMPROVED,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",V0 shape x frozen Step7D level factor 1.10000
V3_APPROVED_PLAN,2026-08-24,W1,W13,13,11.807,11.278,61.84,767.9,V2_CONSENSUS_FORECAST,0.0,NO_ACCURACY_CHANGE,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",V0 shape x frozen Step7D level factor 1.10000; V3==V2 (approved==consensus) so FVA logically 0.0
V3_vs_V0_CUMULATIVE,2026-08-24,W1,W13,13,11.807,,,,V0_ANALYTICAL_BASELINE,-6.15,ACCURACY_WORSENED,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",cumulative planning-intervention effect; SIM CAVEAT: generator centered on V0
W1_REFORECAST,W1,W2,W13,12,10.837,10.058,58.86,655.6,ORIGINAL_V3_PLAN,1.196,ACCURACY_IMPROVED,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",forward-only=7173.5 (=reforecast_total-cum_observed) distributed by ORIGINAL V3 shape; baseline=orig V3 same weeks (WAPE 12.03%)
W2_REFORECAST,W2,W3,W13,11,9.185,8.047,52.0,501.1,ORIGINAL_V3_PLAN,2.799,ACCURACY_IMPROVED,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",forward-only=6728.6 (=reforecast_total-cum_observed) distributed by ORIGINAL V3 shape; baseline=orig V3 same weeks (WAPE 11.98%)
W4_REFORECAST,W4,W5,W13,9,6.342,3.93,39.65,221.1,ORIGINAL_V3_PLAN,5.014,ACCURACY_IMPROVED,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",forward-only=5847.4 (=reforecast_total-cum_observed) distributed by ORIGINAL V3 shape; baseline=orig V3 same weeks (WAPE 11.36%)
W8_REFORECAST,W8,W9,W13,5,5.086,3.702,36.79,133.9,ORIGINAL_V3_PLAN,6.162,ACCURACY_IMPROVED,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",forward-only=3750.5 (=reforecast_total-cum_observed) distributed by ORIGINAL V3 shape; baseline=orig V3 same weeks (WAPE 11.25%)
W13_REFORECAST,W13,,,0,,,,,ORIGINAL_V3_PLAN,,NOT_MEASURABLE_NO_REMAINING_HORIZON,"LATENT_SYNTHETIC_DEMAND (Step7E seed=7, EVALUATION-ONLY)",reforecast created at final week; no future launch horizon remains
