sku_id,channel_id,model,pooled_wape_pct,pooled_bias_pct,pooled_mae_units,mean_fold_wape_pct,median_fold_wape_pct,std_fold_wape_pct,worst_fold_wape_pct,folds_evaluated,backtest_observations
APS-001,ECOM,Seasonal_MA_2Y,13.687258171956534,-9.943081100171597,34.96831671646452,12.964851329967148,12.525351786790477,3.7692775333331805,23.71236571698617,12,156
APS-001,ECOM,Seasonal_Naive,13.38224627288267,-6.9554616208673705,34.18906987570878,12.715805557395152,12.719756244148424,3.840568157097783,20.999747978673593,12,156
APS-001,RETAIL,Seasonal_MA_2Y,9.592453854309998,-5.268658347599879,17.97796330799034,9.437499549654687,8.541259507527908,2.7312314900367824,16.37688489426272,12,156
APS-001,RETAIL,Seasonal_Naive,10.409609295199141,-3.026019728230484,19.509457830283917,10.22858863474322,9.690913030450279,1.7671475209554655,14.544508804557793,12,156
APS-001,WHOLESALE,Seasonal_MA_2Y,19.970864928825623,0.42431395383939086,32.354525022815785,20.772629334028128,19.978856899381405,6.203356178071338,37.17976318622174,12,156
APS-001,WHOLESALE,Seasonal_Naive,22.047481500845446,0.510738827137543,35.71882311814922,22.768590914427083,23.08529324396497,6.2754219323229,34.16777420511543,12,156
CTS-001,ECOM,Seasonal_MA_2Y,11.823248737071355,-10.18770399738171,53.70566445277054,11.861323138588233,11.575415470437484,2.839799579712425,17.36457877663033,12,156
CTS-001,ECOM,Seasonal_Naive,10.888670472875626,-6.645888924276868,49.46045674565592,10.931267004069468,10.144542340574604,2.979036835980869,17.430532906804466,12,156
CTS-001,RETAIL,Seasonal_MA_2Y,11.069949771621443,-7.081912744505528,36.5129343774719,11.185542168529873,10.553866711285032,2.5957902334033873,17.506945692806195,12,156
CTS-001,RETAIL,Seasonal_Naive,11.5214232290996,-4.215752408235282,38.00206676435316,11.687551557656912,10.581611067563426,4.1287017571367315,20.85680135785674,12,156
CTS-001,WHOLESALE,Seasonal_MA_2Y,21.726316768617195,2.4128967133875103,60.96050968707463,21.921609839505752,21.7915584247103,4.531117101025738,30.119974297355444,12,156
CTS-001,WHOLESALE,Seasonal_Naive,25.610748593104987,2.849005141236761,71.85959333697855,25.46346556441468,25.243989991556063,4.84851276387725,35.558590104185974,12,156
IMH-001,ECOM,Seasonal_MA_2Y,12.932541800364525,-11.370371639725935,86.50997962387143,12.941494779024096,12.224452790123072,2.2411703441461404,17.529361978361692,12,156
IMH-001,ECOM,Seasonal_Naive,11.1995304668332,-7.479839079747206,74.91730298952972,10.912769710369233,10.362240870538141,3.0324234352832278,16.4202153500642,12,156
IMH-001,RETAIL,Seasonal_MA_2Y,10.532403794592671,-8.446727177317486,52.235149829492734,10.574419280431284,9.871289386131767,2.5241116287899845,14.316167036285233,12,156
IMH-001,RETAIL,Seasonal_Naive,9.726136618319234,-5.691603120488848,48.236491253862816,9.815072707268735,9.18352149448564,2.3562854139665577,13.176453664650806,12,156
IMH-001,WHOLESALE,Seasonal_MA_2Y,20.12173708642669,-2.8759159577771096,82.99451162825503,20.10005633996595,20.01727070343529,3.1284102707845607,26.961777460009817,12,156
IMH-001,WHOLESALE,Seasonal_Naive,22.424523199481385,-1.3906826049667922,92.49262841690062,21.952270323999347,21.31378649985782,4.43296100534469,28.85870316907731,12,156
